pair_id,from_id,to_id,distance_nm,sea_time_h
P10__P37,P10,P37,645.6379310683093,46.11699507630781
P10__P38,P10,P38,939.325631031331,67.09468793080936
P10__P39,P10,P39,1209.2184613078762,86.37274723627687
P10__P40,P10,P40,1048.511687215742,74.89369194398158
P11__P01,P11,P01,831.4163525264402,59.38688232331715
P11__P02,P11,P02,95.9101097788901,6.8507221270635785
P11__P03,P11,P03,1130.4719506790075,80.74799647707196
P11__P04,P11,P04,1031.59167862167,73.68511990154786
P11__P05,P11,P05,350.55320566713016,25.039514690509296
P11__P06,P11,P06,148.1947310377021,10.585337931264435
P11__P07,P11,P07,539.5695835682633,38.540684540590235
P11__P08,P11,P08,120.50953704021407,8.607824074301005
P11__P09,P11,P09,849.1942278679758,60.656730561998266
P11__P10,P11,P10,871.1545335212573,62.225323822946955
P11__P12,P11,P12,138.51641832082748,9.894029880059106
P11__P13,P11,P13,280.8124905563679,20.058035039740563
P11__P14,P11,P14,382.02488628804406,27.287491877717432
P11__P15,P11,P15,1120.1864694760834,80.01331924829167
P11__P16,P11,P16,592.5741030664401,42.32672164760287
P11__P17,P11,P17,178.09294638014887,12.720924741439205
P11__P18,P11,P18,390.28976066781576,27.877840047701124
P11__P19,P11,P19,292.9674343192509,20.926245308517924
P11__P20,P11,P20,746.7194869272585,53.33710620908989
P11__P21,P11,P21,886.5400293788279,63.32428781277342
P11__P22,P11,P22,812.0145018174937,58.001035844106696
P11__P23,P11,P23,928.2360273008352,66.30257337863108
P11__P24,P11,P24,239.67620255546657,17.119728753961898
P11__P25,P11,P25,1302.1297323801343,93.00926659858102
P11__P26,P11,P26,894.8925812404174,63.92089866002981
P11__P27,P11,P27,1362.9218598637283,97.35156141883773
P11__P28,P11,P28,762.7008902873663,54.47863502052616
P11__P29,P11,P29,1021.3738793180236,72.95527709414453
P11__P30,P11,P30,1130.615233090319,80.75823093502278
P11__P31,P11,P31,1072.5917658578817,76.61369756127726
P11__P32,P11,P32,505.7824290548713,36.127316361062235
P11__P33,P11,P33,120.50953704021407,8.607824074301005
P11__P34,P11,P34,534.690935542461,38.19220968160436
P11__P35,P11,P35,555.1186585914227,39.65133275653019
P11__P36,P11,P36,1075.2342909687563,76.80244935491116
P11__P37,P11,P37,1053.5519716719973,75.25371226228552
P11__P38,P11,P38,188.73621811702628,13.481158436930448
P11__P39,P11,P39,597.6741201820304,42.69100858443074
P11__P40,P11,P40,549.9961073977918,39.28543624269941
P12__P01,P12,P01,759.9415457551296,54.281538982509254
P12__P02,P12,P02,112.41153740632555,8.029395529023253
P12__P03,P12,P03,1153.3651297158772,82.38322355113408
P12__P04,P12,P04,1054.48485765854,75.32034697561001
P12__P05,P12,P05,319.13243454748243,22.795173896248745
P12__P06,P12,P06,157.0284537804731,11.216318127176649
P12__P07,P12,P07,472.6041878833333,33.75744199166666
P12__P08,P12,P08,105.59550987954147,7.542536419967248
P12__P09,P12,P09,872.0874069048457,62.29195763606041
P12__P10,P12,P10,894.0477125581273,63.86055089700909
P12__P11,P12,P11,138.51641832082746,9.894029880059104
P12__P13,P12,P13,193.80617866410773,13.843298476007694
P12__P14,P12,P14,315.05949060311406,22.50424932879386
P12__P15,P12,P15,1143.0796485129533,81.64854632235381
P12__P16,P12,P16,575.8900062802074,41.13500044858625
P12__P17,P12,P17,132.67470176401335,9.476764411715239
P12__P18,P12,P18,395.1831958469727,28.22737113192662
P12__P19,P12,P19,233.30536443810507,16.664668888436076
P12__P20,P12,P20,769.6126659641284,54.972333283152025
P12__P21,P12,P21,815.0652226075173,58.21894447196552
P12__P22,P12,P22,834.9076808543637,59.63626291816883
P12__P23,P12,P23,951.1292063377051,67.93780045269322
